educ,age,income,pcigs79,ageeduc,smoker,educincome
12,21,8500,60.59999847,252,0,102000
15,28,12500,60.59999847,420,1,187500
10,67,12500,60.59999847,670,0,125000
12,20,12500,60.59999847,240,0,150000
12,32,20000,60.59999847,384,1,240000
15,46,30000,60.59999847,690,0,450000
12,58,30000,60.59999847,696,0,360000
13.5,27,30000,60.59999847,364.5,1,405000
0,83,6500,60.59999847,0,0,0
12,24,20000,60.59999847,288,1,240000
16,43,20000,60.59999847,688,1,320000
13.5,19,30000,60.59999847,256.5,0,405000
16,46,20000,60.59999847,736,0,320000
12,58,30000,60.59999847,696,1,360000
16,54,20000,60.59999847,864,0,320000
12,48,20000,60.59999847,576,0,240000
2.5,70,3500,60.59999847,175,0,8750
13.5,63,8500,60.59999847,850.5,0,114750
10,32,8500,60.90000153,320,0,85000
16,22,30000,60.79999924,352,0,480000
13.5,53,20000,60.79999924,715.5,0,270000
15,44,30000,60.79999924,660,1,450000
10,63,20000,60.79999924,630,0,200000
10,28,20000,60.79999924,280,1,200000
13.5,26,12500,60.79999924,351,1,168750
12,34,20000,60.79999924,408,1,240000
8,68,8500,60.79999924,544,0,68000
10,48,30000,60.79999924,480,1,300000
8,75,12500,61.5,600,0,100000
12,33,20000,61.5,396,0,240000
13.5,19,30000,61.5,256.5,0,405000
8,71,20000,61.5,568,1,160000
15,55,12500,61.5,825,0,187500
16,40,20000,61.5,640,0,320000
18,38,30000,61.5,684,1,540000
18,55,6500,62.09999847,990,0,117000
10,19,4500,62.09999847,190,1,45000
8,77,20000,62.09999847,616,0,160000
10,68,5500,62.09999847,680,1,55000
16,27,30000,62.09999847,432,0,480000
18,47,30000,62.09999847,846,0,540000
13.5,70,12500,62.09999847,945,0,168750
18,40,30000,62.09999847,720,0,540000
8,47,20000,62.09999847,376,0,160000
18,31,30000,62.09999847,558,0,540000
13.5,40,30000,62.09999847,540,1,405000
13.5,47,30000,62.09999847,634.5,0,405000
13.5,25,4500,62.09999847,337.5,0,60750
12,31,12500,62.09999847,372,0,150000
13.5,29,20000,62.09999847,391.5,1,270000
13.5,28,20000,62.09999847,378,1,270000
12,57,20000,62.09999847,684,0,240000
12,48,20000,62.09999847,576,0,240000
12,45,12500,62.09999847,540,0,150000
12,18,12500,62.09999847,216,1,150000
10,75,8500,62.09999847,750,0,85000
10,53,8500,62.09999847,530,0,85000
12,54,20000,62.09999847,648,1,240000
10,17,12500,62.09999847,170,0,125000
16,70,30000,62.09999847,1120,0,480000
12,29,20000,62.09999847,348,0,240000
10,75,8500,62.09999847,750,0,85000
12,19,20000,62.09999847,228,0,240000
13.5,30,30000,62.09999847,405,0,405000
12,27,30000,62.09999847,324,1,360000
16,31,30000,62.09999847,496,0,480000
6,44,8500,62.09999847,264,0,51000
12,39,20000,62.09999847,468,0,240000
12,27,500,62.09999847,324,1,6000
16,30,6500,62.09999847,480,0,104000
13.5,28,12500,62.09999847,378,0,168750
12,19,12500,62.09999847,228,0,150000
12,43,20000,62.09999847,516,0,240000
13.5,30,20000,62.09999847,405,0,270000
13.5,43,20000,62.09999847,580.5,1,270000
10,82,12500,62.09999847,820,0,125000
12,63,20000,62.09999847,756,0,240000
10,18,30000,62.09999847,180,0,300000
10,50,20000,62.09999847,500,1,200000
12,68,8500,62.09999847,816,0,102000
8,75,8500,62.09999847,600,0,68000
13.5,41,30000,62.09999847,553.5,1,405000
12,25,30000,62.09999847,300,1,360000
16,27,30000,62.09999847,432,1,480000
12,52,30000,62.09999847,624,0,360000
10,48,20000,62.09999847,480,1,200000
16,68,30000,62.09999847,1088,1,480000
8,19,12500,62.09999847,152,1,100000
12,54,30000,62.09999847,648,1,360000
16,51,12500,62.09999847,816,1,200000
12,24,30000,62.09999847,288,0,360000
2.5,43,30000,62.09999847,107.5,0,75000
6,58,4500,62.09999847,348,1,27000
12,39,20000,62.09999847,468,0,240000
6,54,4500,62.09999847,324,1,27000
12,33,12500,62.09999847,396,0,150000
0,44,5500,62.09999847,0,0,0
12,28,30000,62.09999847,336,0,360000
13.5,54,20000,62.09999847,729,1,270000
16,25,20000,62.09999847,400,0,320000
15,27,20000,62.09999847,405,0,300000
10,21,30000,62.09999847,210,1,300000
18,28,20000,62.09999847,504,0,360000
10,41,20000,62.09999847,410,0,200000
16,62,20000,62.09999847,992,0,320000
10,53,30000,62.09999847,530,1,300000
15,26,20000,62.09999847,390,0,300000
16,53,20000,62.09999847,848,0,320000
6,35,12500,62.09999847,210,0,75000
12,68,2500,62.09999847,816,1,30000
18,38,30000,62.09999847,684,0,540000
18,50,30000,62.09999847,900,0,540000
10,32,20000,62.09999847,320,1,200000
12,26,12500,62.09999847,312,1,150000
12,18,30000,62.09999847,216,0,360000
10,18,20000,62.09999847,180,0,200000
16,45,30000,62.09999847,720,0,480000
16,64,12500,62.09999847,1024,0,200000
13.5,31,20000,62.09999847,418.5,1,270000
12,42,30000,62.09999847,504,1,360000
13.5,31,12500,62.09999847,418.5,1,168750
12,65,12500,62.09999847,780,0,150000
15,53,30000,62.09999847,795,0,450000
13.5,25,30000,62.09999847,337.5,1,405000
18,64,30000,62.09999847,1152,0,540000
12,51,20000,62.09999847,612,0,240000
13.5,27,20000,62.09999847,364.5,1,270000
12,25,6500,62.09999847,300,1,78000
13.5,31,20000,62.09999847,418.5,0,270000
18,37,30000,62.09999847,666,0,540000
12,57,12500,62.09999847,684,0,150000
12,41,20000,62.09999847,492,1,240000
12,32,30000,62.09999847,384,1,360000
16,36,30000,62.09999847,576,0,480000
13.5,60,30000,62.09999847,810,0,405000
10,26,6500,62.09999847,260,1,65000
6,35,12500,62.09999847,210,1,75000
2.5,30,12500,62.09999847,75,0,31250
13.5,48,20000,62.09999847,648,1,270000
8,44,20000,62.09999847,352,0,160000
8,71,12500,62.09999847,568,0,100000
6,74,4500,62.09999847,444,0,27000
18,45,30000,62.09999847,810,0,540000
12,26,30000,62.09999847,312,0,360000
10,17,30000,62.09999847,170,0,300000
16,47,30000,62.09999847,752,0,480000
10,26,30000,62.09999847,260,1,300000
13.5,68,12500,62.09999847,918,0,168750
0,57,20000,62.09999847,0,1,0
0,28,5500,62.09999847,0,1,0
13.5,45,30000,62.09999847,607.5,0,405000
12,76,6500,62.09999847,912,1,78000
13.5,24,6500,62.09999847,324,0,87750
13.5,61,1500,62.09999847,823.5,0,20250
18,45,30000,62.09999847,810,0,540000
12,73,12500,62.09999847,876,0,150000
10,64,2500,62.09999847,640,0,25000
2.5,70,6500,62.09999847,175,0,16250
13.5,36,8500,62.09999847,486,1,114750
15,61,12500,62.09999847,915,0,187500
13.5,37,30000,62.09999847,499.5,0,405000
12,63,20000,62.09999847,756,0,240000
10,23,20000,62.09999847,230,0,200000
15,44,20000,62.09999847,660,1,300000
15,27,12500,62.09999847,405,0,187500
15,64,30000,62.09999847,960,0,450000
15,64,20000,62.09999847,960,0,300000
8,53,12500,62.09999847,424,1,100000
16,38,30000,62.09999847,608,0,480000
12,21,30000,62.09999847,252,1,360000
12,21,12500,62.09999847,252,0,150000
12,77,1500,62.09999847,924,1,18000
12,43,30000,62.09999847,516,0,360000
12,69,8500,62.09999847,828,0,102000
18,31,20000,62.09999847,558,0,360000
12,23,12500,62.09999847,276,1,150000
10,66,20000,62.09999847,660,1,200000
13.5,41,30000,62.09999847,553.5,0,405000
10,47,12500,62.09999847,470,1,125000
12,31,8500,62.09999847,372,0,102000
18,27,30000,62.09999847,486,0,540000
16,27,30000,62.09999847,432,0,480000
16,35,30000,62.09999847,560,1,480000
10,55,30000,62.09999847,550,0,300000
13.5,50,30000,62.09999847,675,0,405000
12,21,30000,62.09999847,252,0,360000
10,33,30000,62.09999847,330,1,300000
12,41,30000,62.09999847,492,1,360000
12,52,30000,62.09999847,624,0,360000
15,25,20000,62.09999847,375,0,300000
6,64,8500,62.09999847,384,0,51000
13.5,52,30000,62.09999847,702,0,405000
13.5,23,30000,62.09999847,310.5,0,405000
12,35,30000,62.09999847,420,1,360000
18,77,12500,62.09999847,1386,0,225000
15,44,30000,62.09999847,660,1,450000
16,40,30000,62.09999847,640,0,480000
10,21,30000,62.09999847,210,1,300000
15,27,30000,62.09999847,405,0,450000
13.5,49,30000,62.09999847,661.5,1,405000
10,62,12500,62.09999847,620,1,125000
15,22,8500,62.09999847,330,1,127500
15,22,20000,62.09999847,330,0,300000
16,29,30000,62.09999847,464,0,480000
13.5,29,20000,62.09999847,391.5,1,270000
8,49,20000,62.09999847,392,1,160000
16,26,6500,62.09999847,416,0,104000
13.5,27,4500,62.09999847,364.5,0,60750
18,60,30000,62.09999847,1080,0,540000
10,65,3500,62.09999847,650,0,35000
12,30,20000,62.09999847,360,0,240000
13.5,72,12500,54.59999847,972,0,168750
16,51,30000,54.59999847,816,0,480000
12,28,20000,54.59999847,336,1,240000
16,49,30000,54.59999847,784,1,480000
15,30,8500,54.59999847,450,0,127500
12,57,20000,54.59999847,684,1,240000
13.5,20,1500,54.59999847,270,0,20250
13.5,34,12500,54.59999847,459,1,168750
10,57,20000,54.59999847,570,0,200000
18,46,30000,54.59999847,828,0,540000
13.5,23,20000,54.59999847,310.5,1,270000
10,41,30000,54.59999847,410,0,300000
10,42,20000,54.59999847,420,0,200000
13.5,35,12500,54.59999847,472.5,1,168750
12,45,20000,54.59999847,540,0,240000
13.5,20,4500,54.59999847,270,0,60750
18,34,20000,54.59999847,612,0,360000
12,52,12500,54.59999847,624,1,150000
13.5,64,8500,54.59999847,864,0,114750
12,19,30000,54.59999847,228,0,360000
13.5,27,6500,54.59999847,364.5,1,87750
16,26,30000,54.59999847,416,0,480000
18,49,30000,54.59999847,882,1,540000
16,46,30000,67,736,0,480000
12,18,30000,67,216,0,360000
12,53,30000,67,636,0,360000
12,34,20000,67,408,1,240000
12,71,30000,67,852,0,360000
10,53,20000,67,530,1,200000
12,49,30000,67,588,1,360000
10,28,12500,67,280,0,125000
18,42,30000,67,756,0,540000
16,45,30000,67,720,0,480000
6,43,8500,67,258,0,51000
10,18,5500,67,180,0,55000
16,51,30000,67,816,1,480000
16,23,20000,67,368,0,320000
18,37,30000,67,666,0,540000
18,53,30000,67,954,0,540000
16,58,20000,67,928,1,320000
8,17,30000,67,136,1,240000
12,33,6500,67,396,1,78000
18,33,30000,67,594,0,540000
12,22,12500,62.70000076,264,1,150000
12,39,20000,62.70000076,468,1,240000
8,49,12500,65.59999847,392,1,100000
13.5,23,30000,65.59999847,310.5,1,405000
12,54,8500,65.59999847,648,1,102000
10,62,20000,69.80000305,620,1,200000
13.5,36,30000,69.80000305,486,0,405000
12,57,20000,69.80000305,684,0,240000
2.5,17,8500,69.80000305,42.5,0,21250
16,35,20000,69.80000305,560,1,320000
15,30,20000,69.80000305,450,0,300000
12,42,12500,69.80000305,504,0,150000
10,50,30000,69.80000305,500,0,300000
12,66,6500,69.80000305,792,1,78000
10,67,8500,69.80000305,670,1,85000
10,82,20000,69.80000305,820,0,200000
12,72,20000,69.80000305,864,0,240000
16,29,20000,69.80000305,464,0,320000
10,46,20000,69.80000305,460,1,200000
12,43,12500,69.80000305,516,0,150000
6,64,5500,69.80000305,384,0,33000
10,66,12500,69.80000305,660,1,125000
12,22,30000,69.80000305,264,1,360000
12,57,8500,69.80000305,684,0,102000
13.5,23,20000,69.80000305,310.5,1,270000
10,17,12500,69.80000305,170,0,125000
2.5,47,12500,69.80000305,117.5,1,31250
12,22,4500,69.80000305,264,0,54000
8,75,6500,69.80000305,600,0,52000
8,71,5500,69.80000305,568,0,44000
18,31,30000,69.80000305,558,0,540000
18,41,20000,69.80000305,738,0,360000
12,25,20000,69.80000305,300,0,240000
13.5,73,30000,69.80000305,985.5,0,405000
12,18,3500,69.80000305,216,0,42000
10,36,30000,69.80000305,360,1,300000
12,54,8500,69.80000305,648,0,102000
8,67,8500,69.80000305,536,0,68000
10,27,12500,69.80000305,270,0,125000
10,32,20000,69.80000305,320,0,200000
2.5,74,5500,69.80000305,185,0,13750
6,44,12500,69.80000305,264,0,75000
12,26,20000,69.80000305,312,0,240000
12,61,20000,69.80000305,732,0,240000
12,35,30000,69.80000305,420,1,360000
10,19,12500,69.80000305,190,0,125000
12,66,12500,69.80000305,792,1,150000
10,67,6500,69.80000305,670,0,65000
12,43,20000,69.80000305,516,0,240000
12,51,30000,69.80000305,612,0,360000
12,24,8500,69.80000305,288,0,102000
13.5,33,20000,59.29999924,445.5,1,270000
10,34,20000,59.29999924,340,0,200000
10,31,8500,59.29999924,310,1,85000
12,36,8500,59.29999924,432,1,102000
10,58,20000,59.29999924,580,0,200000
10,36,12500,59.29999924,360,0,125000
18,30,8500,59.29999924,540,0,153000
15,25,500,59.29999924,375,1,7500
16,32,30000,59.29999924,512,0,480000
8,33,8500,59.29999924,264,0,68000
6,59,3500,59.29999924,354,1,21000
10,41,12500,59.29999924,410,1,125000
12,63,5500,59.29999924,756,0,66000
16,39,30000,63.5,624,0,480000
13.5,39,8500,63.5,526.5,0,114750
16,34,20000,63.5,544,0,320000
12,30,12500,63.5,360,0,150000
18,52,30000,63.5,936,0,540000
13.5,44,20000,63.5,594,1,270000
8,69,6500,60,552,0,52000
12,27,20000,60,324,0,240000
10,59,20000,60,590,0,200000
6,48,12500,60,288,0,75000
16,38,30000,60,608,1,480000
8,27,20000,60,216,0,160000
16,35,30000,60,560,0,480000
12,33,30000,60,396,0,360000
12,46,30000,60,552,0,360000
10,62,20000,60,620,1,200000
10,67,4500,60,670,0,45000
10,39,20000,60,390,1,200000
13.5,32,12500,60,432,0,168750
13.5,49,20000,60,661.5,0,270000
18,53,30000,60,954,0,540000
18,51,30000,60,918,0,540000
12,32,20000,60,384,1,240000
18,25,5500,60,450,0,99000
15,28,8500,60,420,1,127500
12,45,30000,60,540,0,360000
13.5,54,30000,60,729,0,405000
12,49,30000,60,588,1,360000
12,25,20000,60,300,0,240000
12,31,20000,60,372,1,240000
13.5,26,20000,60,351,1,270000
10,27,8500,60,270,0,85000
13.5,58,30000,60,783,0,405000
6,56,5500,60,336,0,33000
12,66,12500,60,792,0,150000
12,20,20000,60,240,0,240000
8,54,12500,60,432,0,100000
13.5,40,30000,60,540,0,405000
10,23,30000,60,230,1,300000
0,37,6500,60,0,1,0
12,23,30000,60,276,0,360000
18,28,30000,60,504,1,540000
8,40,30000,60,320,1,240000
6,59,3500,60,354,0,21000
6,71,30000,60,426,0,180000
12,47,30000,60,564,1,360000
13.5,58,20000,60,783,1,270000
10,56,30000,60,560,1,300000
18,33,30000,60,594,0,540000
16,25,30000,60,400,0,480000
12,57,8500,60,684,1,102000
18,37,30000,60,666,0,540000
12,36,30000,60,432,0,360000
13.5,44,30000,60,594,0,405000
15,49,20000,60,735,0,300000
12,23,6500,60,276,0,78000
16,50,30000,60,800,0,480000
8,43,20000,60,344,1,160000
8,78,30000,60,624,0,240000
12,66,8500,60,792,0,102000
12,39,20000,60,468,0,240000
12,48,30000,60,576,0,360000
16,30,30000,60,480,0,480000
16,32,30000,60,512,0,480000
10,65,20000,60,650,0,200000
13.5,36,30000,60,486,1,405000
10,83,5500,60,830,0,55000
16,61,30000,60,976,0,480000
12,47,30000,60,564,0,360000
16,26,20000,60,416,1,320000
16,29,20000,60,464,1,320000
12,61,30000,60,732,0,360000
10,17,20000,60,170,0,200000
16,26,30000,60,416,0,480000
10,17,20000,53.70000076,170,0,200000
18,37,30000,53.70000076,666,1,540000
12,48,30000,53.70000076,576,1,360000
12,50,20000,53.70000076,600,0,240000
12,59,20000,53.70000076,708,0,240000
16,48,30000,53.70000076,768,0,480000
12,43,12500,53.70000076,516,0,150000
13.5,41,30000,53.70000076,553.5,1,405000
12,64,8500,53.70000076,768,0,102000
12,19,5500,53.70000076,228,0,66000
18,43,30000,53.70000076,774,0,540000
8,64,20000,53.70000076,512,0,160000
10,51,30000,53.70000076,510,0,300000
8,19,5500,53.70000076,152,1,44000
18,34,30000,53.70000076,612,0,540000
10,18,20000,53.70000076,180,0,200000
10,46,20000,53.70000076,460,0,200000
18,38,30000,53.70000076,684,0,540000
10,51,30000,53.70000076,510,1,300000
13.5,36,8500,53.70000076,486,1,114750
12,22,3500,53.70000076,264,1,42000
12,68,12500,53.70000076,816,1,150000
13.5,19,3500,53.70000076,256.5,0,47250
18,39,20000,53.70000076,702,0,360000
15,32,20000,53.70000076,480,1,300000
12,19,30000,53.70000076,228,0,360000
8,65,20000,53.70000076,520,1,160000
15,49,20000,53.70000076,735,0,300000
12,50,12500,53.70000076,600,0,150000
2.5,62,4500,53.70000076,155,0,11250
12,54,30000,53.70000076,648,0,360000
12,24,20000,58.79999924,288,1,240000
12,59,30000,58.79999924,708,1,360000
8,69,8500,58.79999924,552,0,68000
12,43,20000,58.79999924,516,1,240000
2.5,71,3500,58.79999924,177.5,0,8750
10,17,30000,58.79999924,170,0,300000
16,27,20000,58.79999924,432,0,320000
8,69,8500,58.79999924,552,0,68000
18,35,30000,58.79999924,630,0,540000
12,46,12500,58.29999924,552,0,150000
12,20,30000,58.29999924,240,0,360000
18,44,30000,58.29999924,792,0,540000
13.5,51,20000,58.29999924,688.5,1,270000
12,37,30000,58.29999924,444,1,360000
12,28,20000,58.29999924,336,0,240000
12,18,8500,58.29999924,216,1,102000
8,40,12500,58.29999924,320,1,100000
12,28,20000,58.29999924,336,1,240000
12,35,12500,58.29999924,420,1,150000
13.5,21,30000,46.29999924,283.5,1,405000
12,35,20000,46.29999924,420,0,240000
13.5,24,30000,46.29999924,324,1,405000
18,37,30000,46.29999924,666,0,540000
16,48,30000,46.29999924,768,0,480000
12,30,30000,46.29999924,360,1,360000
13.5,25,20000,46.29999924,337.5,0,270000
12,72,6500,46.29999924,864,1,78000
10,52,4500,46.29999924,520,1,45000
10,18,30000,46.29999924,180,1,300000
16,34,30000,46.29999924,544,1,480000
10,29,12500,46.29999924,290,1,125000
10,47,30000,46.29999924,470,0,300000
12,53,30000,46.29999924,636,1,360000
13.5,27,20000,60,364.5,1,270000
16,55,30000,60,880,0,480000
13.5,26,8500,60,351,1,114750
6,47,12500,60,282,1,75000
12,25,12500,60,300,1,150000
13.5,28,8500,60,378,1,114750
12,19,30000,60,228,1,360000
13.5,21,6500,60,283.5,0,87750
13.5,45,30000,60,607.5,1,405000
6,50,5500,60,300,1,33000
12,32,20000,60,384,0,240000
18,63,30000,59,1134,0,540000
8,69,12500,59,552,1,100000
10,37,20000,58.09999847,370,1,200000
10,17,20000,58.09999847,170,0,200000
18,30,30000,58.09999847,540,0,540000
16,29,20000,58.09999847,464,1,320000
13.5,28,30000,58.09999847,378,0,405000
12,22,12500,58.09999847,264,1,150000
10,36,30000,58.09999847,360,0,300000
13.5,30,20000,58.09999847,405,0,270000
12,21,20000,58.09999847,252,1,240000
16,52,20000,58.09999847,832,1,320000
13.5,26,30000,58.09999847,351,0,405000
12,19,8500,58.09999847,228,0,102000
18,63,30000,58.09999847,1134,1,540000
12,35,20000,58.09999847,420,0,240000
10,21,30000,58.09999847,210,1,300000
15,22,8500,58.09999847,330,0,127500
12,72,30000,58.09999847,864,0,360000
18,54,30000,58.09999847,972,0,540000
13.5,37,30000,58.09999847,499.5,0,405000
16,56,30000,58.09999847,896,0,480000
15,26,3500,58.09999847,390,1,52500
12,18,30000,58.09999847,216,0,360000
12,33,30000,58.09999847,396,1,360000
13.5,51,30000,58.09999847,688.5,0,405000
18,31,12500,58.09999847,558,1,225000
10,23,30000,68.19999695,230,1,300000
10,17,20000,68.19999695,170,0,200000
12,33,30000,68.19999695,396,0,360000
10,17,30000,68.19999695,170,0,300000
10,24,12500,68.19999695,240,0,125000
12,23,6500,68.19999695,276,0,78000
10,80,8500,68.19999695,800,0,85000
10,56,20000,68.19999695,560,0,200000
12,57,6500,68.19999695,684,0,78000
16,56,30000,68.19999695,896,0,480000
12,61,20000,68.19999695,732,0,240000
16,52,30000,68.19999695,832,0,480000
12,24,8500,68.19999695,288,1,102000
12,38,20000,68.19999695,456,1,240000
10,52,20000,68.19999695,520,0,200000
12,60,30000,68.19999695,720,0,360000
12,44,30000,68.19999695,528,1,360000
18,46,30000,68.19999695,828,0,540000
12,53,30000,68.19999695,636,0,360000
12,28,30000,68.19999695,336,1,360000
18,29,20000,68.19999695,522,0,360000
12,18,6500,68.19999695,216,0,78000
15,61,20000,68.19999695,915,0,300000
12,38,20000,68.19999695,456,1,240000
12,26,20000,68.19999695,312,0,240000
16,40,20000,68.19999695,640,1,320000
16,29,20000,68.19999695,464,0,320000
12,52,8500,68.19999695,624,1,102000
12,32,20000,68.19999695,384,0,240000
12,23,8500,68.19999695,276,0,102000
13.5,54,20000,68.19999695,729,0,270000
13.5,55,12500,60.29999924,742.5,1,168750
16,22,8500,60.29999924,352,1,136000
12,23,20000,60.29999924,276,0,240000
10,22,20000,60.29999924,220,1,200000
6,62,30000,60.29999924,372,1,180000
10,40,30000,60.29999924,400,1,300000
18,46,30000,60.29999924,828,0,540000
13.5,20,12500,60.29999924,270,1,168750
18,49,20000,60.29999924,882,0,360000
10,19,20000,60.29999924,190,0,200000
8,38,30000,60.29999924,304,0,240000
12,30,4500,60.29999924,360,1,54000
13.5,61,20000,60.29999924,823.5,1,270000
13.5,63,20000,60.29999924,850.5,0,270000
6,60,4500,60.29999924,360,1,27000
13.5,36,12500,60.29999924,486,0,168750
12,31,20000,60.29999924,372,0,240000
12,18,500,60.29999924,216,0,6000
12,21,30000,60.29999924,252,0,360000
12,17,20000,60.29999924,204,0,240000
13.5,37,30000,60.29999924,499.5,0,405000
12,64,8500,60.29999924,768,1,102000
12,20,12500,60.29999924,240,1,150000
18,63,30000,60.29999924,1134,0,540000
12,18,30000,60.29999924,216,0,360000
10,21,5500,60.29999924,210,1,55000
16,31,20000,60.29999924,496,1,320000
10,30,30000,60.29999924,300,1,300000
12,30,6500,60.29999924,360,0,78000
12,25,30000,60.29999924,300,1,360000
16,40,30000,60.29999924,640,0,480000
13.5,64,8500,60.29999924,864,1,114750
12,40,30000,60.29999924,480,1,360000
18,24,4500,60.29999924,432,1,81000
12,32,30000,60.29999924,384,1,360000
12,57,20000,60.29999924,684,1,240000
12,25,20000,60.29999924,300,1,240000
12,20,5500,60.29999924,240,1,66000
12,18,1500,60.29999924,216,0,18000
15,39,30000,60.29999924,585,0,450000
12,43,30000,60.29999924,516,0,360000
12,40,20000,60.29999924,480,0,240000
12,26,8500,60.29999924,312,0,102000
8,24,5500,60.29999924,192,1,44000
10,72,6500,60.29999924,720,1,65000
10,57,20000,60.29999924,570,0,200000
15,33,20000,60.29999924,495,1,300000
10,58,20000,60.29999924,580,0,200000
12,31,20000,60.29999924,372,0,240000
12,21,30000,60.29999924,252,1,360000
13.5,23,4500,60.29999924,310.5,0,60750
10,27,30000,60.29999924,270,1,300000
12,59,30000,60.29999924,708,0,360000
6,42,20000,60.29999924,252,1,120000
12,60,30000,60.29999924,720,0,360000
12,76,6500,60.29999924,912,0,78000
10,62,30000,60.29999924,620,1,300000
12,18,3500,63,216,0,42000
12,65,20000,63,780,0,240000
13.5,31,12500,63,418.5,0,168750
12,67,8500,63,804,0,102000
10,29,12500,63,290,1,125000
15,74,20000,63,1110,0,300000
12,42,20000,63,504,0,240000
10,56,20000,63,560,1,200000
16,30,20000,63,480,1,320000
13.5,53,20000,63,715.5,0,270000
16,31,30000,63,496,0,480000
10,17,30000,63,170,0,300000
13.5,25,30000,63,337.5,0,405000
18,36,30000,63,648,0,540000
12,38,30000,63,456,1,360000
12,37,30000,59.70000076,444,1,360000
13.5,22,20000,59.70000076,297,1,270000
13.5,58,30000,59.70000076,783,0,405000
6,50,1500,57.29999924,300,1,9000
15,33,20000,57.29999924,495,0,300000
10,35,20000,57.29999924,350,0,200000
10,35,20000,57.29999924,350,0,200000
12,70,12500,57.29999924,840,1,150000
12,58,20000,57.29999924,696,0,240000
12,54,30000,57.29999924,648,0,360000
